Quarter,Inv,Q
1971(1),#N/A,0.609010823145451
1971(2),0.0379751022977749,0.598901138668586
1971(3),0.03952212980418,0.595957406679682
1971(4),0.0416970626952405,0.603154382753215
1972(1),0.0426978472007498,0.638409845193623
1972(2),0.0511885294294491,0.660336022656379
1972(3),0.0587375566559081,0.651867258973764
1972(4),0.0582476406276446,0.664373231385584
1973(1),0.0581989754484988,0.681216912761832
1973(2),0.0556669102969276,0.669843856677419
1973(3),0.0503831311343748,0.675330927306733
1973(4),0.0460992914142157,0.644235481359449
1974(1),0.0394389795423652,0.601795317177782
1974(2),0.0354183332226639,0.581700273781424
1974(3),0.0315249029576144,0.581010919100831
1974(4),0.0276525093379211,0.60151104985248
1975(1),0.0249888015552521,0.623113743478763
1975(2),0.0232251157996226,0.628673475151669
1975(3),0.0243888780617983,0.653203715432008
1975(4),0.0281428509702615,0.632388885560857
1976(1),0.0339579925827525,0.646012224068213
1976(2),0.0356181536912628,0.638920429294646
1976(3),0.0319576330059986,0.648269192842571
1976(4),0.0290567351821985,0.659594486985628
1977(1),0.0254201248090062,0.65272084530341
1977(2),0.026980883257411,0.670449113616532
1977(3),0.0276121178188645,0.677493454097707
1977(4),0.0241127173879752,0.692708143246081
1978(1),0.0271338942457241,0.69506401574691
1978(2),0.0253683360127012,0.717074310458033
1978(3),0.0239152348352807,0.730724474752955
1978(4),0.0214239251132676,0.733536468888295
1979(1),0.026922580524582,0.708999435316399
1979(2),0.0225604492916217,0.737392583247392
1979(3),0.0204364011947281,0.732264767079065
1979(4),0.0185497154059633,0.702717508529059
1980(1),0.0181652796282078,0.671747601934478
1980(2),0.0157144526319683,0.631669678196044
1980(3),0.0123988442990013,0.630544368416371
1980(4),0.0089850948754436,0.61865718345781
1981(1),0.00565961102008147,0.599721546956375
1981(2),0.00480971690044872,0.549393053056562
1981(3),0.00391064493637117,0.519602429606156
1981(4),0.0024565767396948,0.511947960877195
1982(1),0.00266648266537006,0.497602732685521
1982(2),0.00258721709703473,0.493397389578175
1982(3),0.00264541386182827,0.480349283209653
1982(4),0.00336604470041285,0.47774784747402
1983(1),0.00207728435256042,0.506950333047027
1983(2),0.00325102311732622,0.557073531945654
1983(3),0.00759256874340218,0.556978657608947
1983(4),0.00862821036295809,0.566661534558835
1984(1),0.0102389697468519,0.590127759457557
1984(2),0.0120076720246227,0.589801675175993
1984(3),0.0115299811690882,0.596614560899698
1984(4),0.0099096896298272,0.61944462117523
1985(1),0.00896191320767927,0.628964325289251
1985(2),0.00898835422344067,0.646670665229249
1985(3),0.00915640748331578,0.693510573049714
1985(4),0.0132446933515938,0.707984206355482
1986(1),0.0156897705420946,0.745645250864135
1986(2),0.0162444947057206,0.752199959160697
1986(3),0.0183290296809129,0.722936794896341
1986(4),0.0181324025179498,0.734614189450622
1987(1),0.0171279546178194,0.678991470053893
1987(2),0.0162598184127588,0.66787711871487
1987(3),0.0162120421120979,0.650600765544902
1987(4),0.0156352069127045,0.63216177939705
1988(1),0.013054622320032,0.661849333895326
1988(2),0.0118357707644756,0.621548528556751
1988(3),0.0105886267716927,0.613341901449425
1988(4),0.0101484746615982,0.611564200640999
1989(1),0.00915205090086853,0.607632431661045
1989(2),0.00858072757441768,0.604511863107944
1989(3),0.00827418572633378,0.590548098256436
1989(4),0.00719837284861328,0.572086674206941
1990(1),0.00712086024978785,0.547718857042593
